"Team","Year","G","X3P","X3PA","X2P","X2PA","FG","FGA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Playoffs"
"Los Angeles Lakers",2016,82,639,2016,2241,4940,2880,6956,1583,2028,878,2645,1478,593,337,1124,1662,7982,0
"Golden State Warriors",2017,82,982,2562,2550,4578,3532,7140,1457,1850,770,2873,2491,785,555,1211,1585,9503,1
"Houston Rockets",2017,82,1181,3306,2124,3846,3305,7152,1667,2177,892,2746,2070,670,352,1240,1634,9458,1
"Denver Nuggets",2017,82,870,2365,2507,4829,3377,7194,1537,1986,966,2837,2077,568,323,1226,1567,9161,0
"Cleveland Cavaliers",2017,82,1067,2779,2208,4184,3275,6963,1431,1913,766,2821,1858,539,327,1121,1486,9048,1
"Washington Wizards",2017,82,756,2030,2632,5107,3388,7137,1421,1812,843,2671,1956,693,336,1162,1745,8953,1
"Los Angeles Clippers",2017,82,841,2245,2401,4575,3242,6820,1586,2128,738,2790,1848,612,347,1062,1626,8911,1
"Boston Celtics",2017,82,985,2742,2183,4236,3168,6978,1536,1903,744,2698,2069,617,340,1088,1686,8857,1
"Portland Trail Blazers",2017,82,852,2272,2391,4787,3243,7059,1513,1940,830,2750,1733,574,408,1126,1736,8851,1
"Phoenix Suns",2017,82,615,1854,2655,5406,3270,7260,1676,2159,976,2712,1604,673,399,1265,2030,8831,0
"Toronto Raptors",2017,82,725,1996,2486,4922,3211,6918,1615,2028,871,2676,1517,677,400,1041,1708,8762,1
"Oklahoma City Thunder",2017,82,692,2116,2545,5053,3237,7169,1575,2113,1002,2821,1721,648,408,1230,1715,8741,1
"Brooklyn Nets",2017,82,877,2591,2225,4396,3102,6987,1592,2020,721,2879,1756,593,387,1356,1726,8673,0
"Minnesota Timberwolves",2017,82,601,1723,2634,5199,3235,6922,1586,1986,938,2540,1940,654,370,1150,1646,8657,0
"San Antonio Spurs",2017,82,753,1927,2469,4937,3222,6864,1440,1806,821,2777,1954,655,484,1101,1498,8637,1
"Indiana Pacers",2017,82,709,1885,2512,5046,3221,6931,1467,1811,742,2702,1844,669,409,1130,1597,8618,1
"Charlotte Hornets",2017,82,824,2347,2269,4653,3093,7000,1591,1953,721,2853,1891,571,390,942,1360,8601,0
"Los Angeles Lakers",2017,82,730,2110,2494,5054,3224,7164,1397,1853,933,2636,1716,674,320,1243,1698,8575,0
"New Orleans Pelicans",2017,82,768,2196,2442,4934,3210,7130,1368,1825,703,2879,1869,638,453,1054,1490,8556,0
"New York Knicks",2017,82,704,2022,2540,5234,3244,7256,1364,1731,983,2723,1786,581,455,1139,1668,8556,0
"Milwaukee Bucks",2017,82,720,1946,2462,4769,3182,6715,1413,1839,723,2589,1984,666,436,1145,1660,8497,1
"Miami Heat",2017,82,808,2213,2394,4824,3202,7037,1248,1768,872,2705,1742,588,469,1102,1680,8460,0
"Atlanta Hawks",2017,82,729,2137,2394,4781,3123,6918,1484,2039,842,2793,1938,672,397,1294,1491,8459,1
"Chicago Bulls",2017,82,623,1831,2546,5310,3169,7141,1474,1848,999,2797,1851,643,393,1112,1455,8435,1
"Sacramento Kings",2017,82,737,1960,2368,4774,3105,6734,1483,1913,715,2652,1844,627,324,1201,1667,8430,0
"Philadelphia 76ers",2017,82,831,2443,2257,4549,3088,6992,1393,1806,807,2706,1949,692,420,1366,1793,8400,0
"Detroit Pistons",2017,82,631,1915,2638,5367,3269,7282,1140,1586,908,2838,1732,574,310,973,1467,8309,0
"Orlando Magic",2017,82,701,2139,2438,4994,3139,7133,1309,1753,807,2734,1820,580,396,1091,1584,8288,0
"Utah Jazz",2017,82,791,2128,2242,4387,3033,6515,1401,1875,771,2774,1651,550,410,1118,1545,8258,1
"Memphis Grizzlies",2017,82,767,2169,2217,4685,2984,6854,1504,1918,886,2621,1744,653,344,1059,1840,8239,1
"Dallas Mavericks",2017,82,878,2473,2090,4277,2968,6750,1215,1516,647,2516,1705,614,307,972,1567,8029,0
"Golden State Warriors",2018,82,926,2370,2583,4611,3509,6981,1360,1668,691,2877,2402,656,612,1267,1607,9304,1
"Houston Rockets",2018,82,1256,3470,1918,3436,3174,6906,1609,2061,739,2825,1767,699,392,1135,1597,9213,1
"New Orleans Pelicans",2018,82,837,2312,2663,4929,3500,7241,1324,1716,712,2924,2195,657,485,1223,1570,9161,1
"Toronto Raptors",2018,82,968,2705,2415,4464,3383,7169,1422,1790,800,2807,1995,626,500,1095,1783,9156,1
"Cleveland Cavaliers",2018,82,981,2636,2330,4314,3311,6950,1488,1909,694,2761,1916,582,312,1126,1524,9091,1
"Denver Nuggets",2018,82,940,2536,2398,4566,3338,7102,1404,1830,902,2748,2059,627,404,1227,1533,9020,0
"Philadelphia 76ers",2018,82,901,2445,2448,4653,3349,7098,1405,1868,893,2996,2221,682,420,1353,1811,9004,1
"Minnesota Timberwolves",2018,82,658,1845,2707,5218,3365,7063,1592,1980,848,2593,1861,689,345,1021,1495,8980,1
"Los Angeles Clippers",2018,82,777,2196,2525,4808,3302,7004,1556,2095,832,2766,1832,628,373,1204,1638,8937,0
"Charlotte Hornets",2018,82,824,2233,2373,4873,3197,7106,1656,2216,827,2901,1770,559,373,1041,1409,8874,0
"Los Angeles Lakers",2018,82,822,2384,2516,4864,3338,7248,1364,1910,876,2927,1949,633,388,1295,1736,8862,0
"Oklahoma City Thunder",2018,82,881,2491,2390,4730,3271,7221,1421,1985,1024,2671,1750,743,412,1147,1653,8844,1
"Washington Wizards",2018,82,814,2173,2461,4845,3275,7018,1378,1786,823,2713,2065,645,353,1196,1746,8742,1
"Brooklyn Nets",2018,82,1041,2924,2095,4190,3136,7114,1428,1850,792,2852,1941,512,390,1245,1688,8741,0
"Milwaukee Bucks",2018,82,718,2024,2539,4783,3257,6807,1499,1915,688,2579,1905,722,443,1134,1752,8731,1
"Portland Trail Blazers",2018,82,845,2308,2377,4824,3222,7132,1372,1715,835,2893,1599,573,423,1109,1599,8661,1
"Indiana Pacers",2018,82,741,2010,2604,5073,3345,7083,1225,1573,788,2684,1819,721,340,1089,1544,8656,1
"New York Knicks",2018,82,673,1914,2661,5279,3334,7193,1225,1557,859,2752,1912,552,421,1207,1682,8566,0
"Utah Jazz",2018,82,887,2425,2252,4372,3139,6797,1375,1766,740,2807,1839,708,420,1205,1608,8540,1
"Boston Celtics",2018,82,939,2492,2202,4483,3141,6975,1308,1697,767,2878,1842,604,373,1149,1618,8529,1
"Phoenix Suns",2018,82,763,2286,2390,4855,3153,7141,1453,1962,842,2776,1743,569,370,1289,1807,8522,0
"Detroit Pistons",2018,82,886,2373,2322,4756,3208,7129,1207,1621,830,2756,1868,628,317,1103,1508,8509,0
"Miami Heat",2018,82,903,2506,2281,4491,3184,6997,1209,1601,763,2801,1862,620,437,1179,1648,8480,1
"Orlando Magic",2018,82,844,2405,2338,4637,3182,7042,1271,1678,722,2692,1921,622,400,1192,1579,8479,0
"Atlanta Hawks",2018,82,917,2544,2213,4471,3130,7015,1298,1654,743,2693,1946,638,348,1276,1606,8475,0
"Chicago Bulls",2018,82,906,2549,2264,4736,3170,7285,1194,1574,790,2873,1923,626,289,1147,1571,8440,0
"San Antonio Spurs",2018,82,696,1977,2506,5022,3202,6999,1324,1715,849,2777,1868,628,460,1078,1408,8424,1
"Dallas Mavericks",2018,82,967,2688,2161,4354,3128,7042,1167,1530,666,2717,1858,578,310,1008,1578,8390,0
"Memphis Grizzlies",2018,82,758,2152,2255,4636,3013,6788,1361,1732,779,2544,1767,613,396,1227,1900,8145,0
"Sacramento Kings",2018,82,738,1967,2441,5096,3179,7063,1008,1371,777,2578,1768,643,340,1125,1639,8104,0
"Milwaukee Bucks",2019,82,1105,3134,2450,4337,3555,7471,1471,1904,762,3316,2136,615,486,1137,1608,9686,1
"Golden State Warriors",2019,82,1087,2824,2525,4537,3612,7361,1339,1672,797,2990,2413,625,525,1169,1757,9650,1
"New Orleans Pelicans",2019,82,842,2449,2739,5114,3581,7563,1462,1921,909,2969,2216,610,441,1215,1732,9466,0
"Philadelphia 76ers",2019,82,889,2474,2518,4759,3407,7233,1742,2258,892,3025,2207,606,432,1223,1745,9445,1
"Los Angeles Clippers",2019,82,821,2118,2563,5060,3384,7178,1853,2340,796,2936,1970,561,385,1193,1913,9442,1
"Portland Trail Blazers",2019,82,904,2520,2566,4907,3470,7427,1558,1914,967,2968,1887,546,413,1135,1669,9402,1
"Oklahoma City Thunder",2019,82,932,2677,2565,5029,3497,7706,1461,2049,1031,2911,1917,766,425,1145,1839,9387,1
"Toronto Raptors",2019,82,1015,2771,2445,4534,3460,7305,1449,1803,786,2920,2085,680,437,1150,1724,9384,1
"Sacramento Kings",2019,82,927,2455,2614,5182,3541,7637,1354,1865,906,2819,2083,679,363,1095,1751,9363,0
"Washington Wizards",2019,82,930,2731,2526,4656,3456,7387,1508,1963,794,2679,2154,683,379,1154,1701,9350,0
"Houston Rockets",2019,82,1323,3721,1895,3442,3218,7163,1582,2001,836,2613,1741,700,405,1094,1803,9341,1
"Atlanta Hawks",2019,82,1067,3034,2325,4490,3392,7524,1443,1918,955,2825,2118,675,419,1397,1932,9294,0
"Minnesota Timberwolves",2019,82,827,2357,2586,5126,3413,7483,1570,1995,923,2750,2018,683,411,1074,1664,9223,0
"Boston Celtics",2019,82,1032,2829,2419,4594,3451,7423,1282,1598,804,2849,2155,706,435,1052,1670,9216,1
"Brooklyn Nets",2019,82,1047,2965,2254,4393,3301,7358,1555,2088,900,2919,1954,539,339,1236,1763,9204,1
"Los Angeles Lakers",2019,82,847,2541,2644,4884,3491,7425,1336,1910,835,2985,2096,618,440,1284,1701,9165,0
"Utah Jazz",2019,82,993,2789,2321,4293,3314,7082,1540,2092,820,2981,2133,663,483,1240,1728,9161,1
"San Antonio Spurs",2019,82,812,2071,2656,5177,3468,7248,1408,1720,757,2910,2013,501,386,992,1487,9156,1
"Charlotte Hornets",2019,82,977,2783,2320,4579,3297,7362,1510,1895,814,2778,1905,591,405,1001,1550,9081,0
"Denver Nuggets",2019,82,903,2571,2536,4813,3439,7384,1294,1714,972,2832,2245,634,363,1102,1644,9075,1
"Dallas Mavericks",2019,82,1022,3002,2160,4120,3182,7122,1541,2076,832,2884,1918,533,351,1167,1650,8927,0
"Indiana Pacers",2019,82,779,2081,2611,5054,3390,7135,1298,1727,762,2766,2128,713,404,1122,1594,8857,1
"Phoenix Suns",2019,82,790,2400,2499,4764,3289,7164,1447,1858,748,2563,1957,735,418,1279,1932,8815,0
"Orlando Magic",2019,82,937,2633,2379,4674,3316,7307,1231,1575,822,2902,2095,543,445,1082,1526,8800,1
"Detroit Pistons",2019,82,993,2854,2192,4384,3185,7238,1415,1893,936,2752,1845,569,331,1135,1811,8778,1
"Miami Heat",2019,82,928,2658,2323,4560,3251,7218,1238,1782,921,2879,1991,627,448,1208,1712,8668,0
"Chicago Bulls",2019,82,745,2123,2521,5082,3266,7205,1328,1695,718,2799,1796,603,351,1159,1663,8605,0
"New York Knicks",2019,82,823,2421,2311,4820,3134,7241,1484,1956,857,2811,1646,557,422,1151,1713,8575,0
"Cleveland Cavaliers",2019,82,847,2388,2342,4796,3189,7184,1342,1694,879,2619,1698,534,195,1106,1642,8567,0
"Memphis Grizzlies",2019,82,811,2368,2302,4556,3113,6924,1453,1882,723,2703,1963,684,448,1147,1801,8490,0
