"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Jerryd Bayless","PG","MIN",98,132,230,28,11,51,119,18,2,32,56,8575916
"Aron Baynes","C","BOS",61,162,223,62,88,152,57,12,34,40,125,5193600
"Kent Bazemore","SG","ATL",300,391,691,175,37,224,152,89,42,121,170,18089887
"Bradley Beal","SG","WAS",596,1013,1609,448,89,322,448,121,58,224,226,25434263
"Malik Beasley","SG","DEN",405,332,737,66,35,165,97,55,10,55,116,1773840
"Michael Beasley","PF","LAL",17,136,153,39,13,47,25,9,10,27,42,3500000
"Marco Belinelli","SG","SAS",395,295,690,124,16,182,132,35,8,72,121,6153846
"Jordan Bell","C","GSW",2,190,192,41,55,129,76,20,51,42,80,1378252
"DeAndre' Bembry","SG","ATL",173,443,616,136,54,304,202,105,41,142,190,1634640
"Dragan Bender","PF","PHO",101,96,197,54,34,149,56,18,22,37,90,4661280
"Dairis Bertans","SG","NOP",34,13,47,0,2,7,10,1,0,2,7,194220
"Davis Bertans","PF","SAS",338,115,453,60,23,241,100,35,33,43,133,7e+06
"Patrick Beverley","PG","LAC",282,195,477,123,76,312,300,67,43,85,265,5027028
"Khem Birch","C","ORL",1,150,151,83,79,111,38,18,29,20,72,1378242
"Bismack Biyombo","C","CHO",0,156,156,91,81,166,33,11,41,34,103,1.7e+07
"Nemanja Bjelica","PF","SAC",257,336,593,92,125,319,147,54,56,82,197,6500000
"Antonio Blakeney","SG","CHI",91,305,396,76,7,99,42,12,9,35,41,1349383
"Eric Bledsoe","PG","MIL",377,594,971,236,82,280,430,116,29,165,156,1.5e+07
"Jaron Blossomgame","SF","CLE",39,67,106,13,26,72,13,7,8,11,20,3206640
"Bogdan Bogdanovic","SG","SAC",372,491,863,162,40,203,267,72,15,117,142,9e+06
"Bojan Bogdanovic","SF","IND",386,665,1051,305,33,300,161,69,1,134,138,10500000
"Andrew Bogut","C","GSW",0,36,36,3,12,43,11,3,8,8,22,2393887
"Jonah Bolden","PF","PHI",96,66,162,27,47,118,40,17,39,36,99,1690000
"Isaac Bonga","PG","LAL",8,25,33,15,9,16,15,9,4,6,9,1e+06
"Devin Booker","SG","PHO",414,841,1255,454,39,226,433,56,13,264,200,3314365
"Chris Boucher","PF","TOR",37,39,76,15,16,40,2,6,24,7,31,457418
